service,asb_control_id,feature_name,feature_supported_original,feature_enabled_by_default_original,status_2025,verdict_2025,azure_api_property,script_module,script_function,notes,severity,blast_radius,risk_rank
appgateway,DP-3,Encrypt Data in Transit — Backend TLS,True,False,implemented,implemented,backendHttpSettingsCollection[*].protocol,appgateway/dp_appgateway,check_dp3_tls_backend,All backend_http_settings_collection[*].protocol=Https → PASS; any Http → FAIL,Medium,Wide,4
appgateway,AM-2,Use Only Approved Azure Services — Azure Policy Support,True,False,implemented,implemented,tags,appgateway/am_appgateway,check_am2_policy,Tags presence as proxy for policy governance; empty tags → FAIL,Medium,Wide,4
automation,DP-7,Certificate Management in Azure Key Vault,True,False,implemented,implemented,automationAccount.properties.encryption.keyVaultProperties.keyUri,,,LIVE-DIRECT: Azure Automation supports certificate assets referencing Key Vault for runbook authentication; check encryption keyVaultProperties for active KV reference,Medium,Wide,4
automation,DP-5,Data at Rest Encryption Using CMK,True,False,implemented,implemented,automationAccount.properties.encryption.keySource,,,LIVE-DIRECT: Azure Automation Account supports CMK for encrypting stored assets; check properties.encryption.keySource == Microsoft.Keyvault,Medium,Wide,4
automation,DP-6,Key Management in Azure Key Vault,True,False,implemented,implemented,automationAccount.properties.encryption.keyVaultProperties.keyUri,,,LIVE-DIRECT: Azure Automation supports CMK key rotation via Key Vault; check properties.encryption.keyVaultProperties.keyUri for active KV reference,Medium,Wide,4
azuredns,AM-2,Use Only Approved Azure Services — Azure Policy,True,False,implemented,implemented,zone.tags,azuredns/am_azuredns,check_am2_policy,Tags proxy for Azure Policy governance; tags present→PASS; empty tags→FAIL; note auto-provisioned zones in system RGs may lack tags,Medium,Wide,4
azurefirewall,DP-3,Data in Transit Encryption — TLS Inspection,True,False,conditional,conditional,transportSecurity.certificateAuthority,azurefirewall/dp_azurefirewall,check_dp3_tls_transit,Premium SKU + transport_security.certificate_authority set → PASS; Standard → UNKNOWN (TLS inspection not available),Medium,Wide,4
azurefirewall,DP-7,Certificate Management in Azure Key Vault,True,False,implemented,implemented,transportSecurity.certificateAuthority.keyVaultSecretId,azurefirewall/dp_azurefirewall,check_dp7_cert_kv,Premium SKU; intermediate CA cert lifecycle managed in Key Vault; key_vault_secret_id set → PASS,Medium,Wide,4
azurefirewall,AM-2,Azure Policy Support,True,False,implemented,implemented,tags,azurefirewall/am_azurefirewall,check_am2_policy,Resource tags present → PASS proxy for policy governance; no tags → FAIL,Medium,Wide,4
backup,DP-7,Certificate Management in Azure Key Vault,True,False,implemented,implemented,vault.properties.encryption.keyVaultProperties.keyUri,,,LIVE-DIRECT: Azure Backup supports certificate-based key management via KV; check encryption keyVaultProperties.keyUri for active KV reference,Medium,Wide,4
backup,DP-5,Data at Rest Encryption Using CMK,True,False,implemented,implemented,vault.properties.encryption.keyVaultProperties.keyUri,,,LIVE-DIRECT: Recovery Services Vault supports CMK via customer-managed key in Key Vault; check properties.encryption.infrastructureEncryptionState and keyVaultProperties.keyUri,Medium,Wide,4
backup,DP-2,Data Leakage/Loss Prevention,True,False,implemented,implemented,vault.properties.securitySettings.immutabilitySettings.state,,,LIVE-DIRECT: Azure Backup supports immutable vaults (WORM-protected backup data); check properties.securitySettings.immutabilitySettings.state — Locked or Unlocked = configured; Disabled = not configured,Medium,Wide,4
backup,DP-6,Key Management in Azure Key Vault,True,False,implemented,implemented,vault.properties.encryption.keyVaultProperties.keyUri,,,LIVE-DIRECT: Azure Backup supports CMK key rotation via Key Vault; check keyVaultProperties.keyUri for active KV reference; CMK enables key revocation for data access control,Medium,Wide,4
bastion,DP-6,Key Management in Azure Key Vault,True,False,implemented,implemented,N/A — LIVE→UNKNOWN (no ARM property),bastion/dp_bastion,check_dp6_key_mgmt,LIVE→UNKNOWN: SSH keys can be stored in KV for Bastion native client sessions; connection-time behavioral pattern; no ARM property on BastionHost to inspect; verify via Azure Policy audit or manual review,Medium,Wide,4
bastion,AM-2,Azure Policy Support,True,False,implemented,implemented,bastion.tags,bastion/am_bastion,check_am2_policy,LIVE-DIRECT: tags proxy for Azure Policy governance; bastion.tags non-empty → PASS; empty → FAIL,Medium,Wide,4
botservice,AM-2,Azure Policy Support,True,False,implemented,implemented,botService.tags,,,LIVE-DIRECT: tags proxy for Azure Policy governance; botService.tags non-empty → PASS,Medium,Wide,4
botservice,DP-5,Data at Rest Encryption Using CMK,True,False,implemented,implemented,N/A — LIVE→UNKNOWN (no ARM property),,,LIVE→UNKNOWN: Bot Service supports CMK via customer-managed key in Key Vault; no ARM property directly on bot resource to verify; check Key Vault integration,Medium,Wide,4
botservice,DP-6,Key Management in Azure Key Vault,True,False,implemented,implemented,N/A — LIVE→UNKNOWN (no ARM property),,,LIVE→UNKNOWN: Bot Service can use Key Vault for key management; no ARM property on bot resource to verify; behavioral pattern,Medium,Wide,4
ddosprotection,AM-2,Azure Policy Support,True,False,implemented,implemented,tags,ddosprotection/am_ddosprotection,check_am2_policy,Resource tags present → PASS proxy for policy governance; no tags → FAIL,Medium,Wide,4
firewallmanager,DP-7,Certificate Management in Azure Key Vault,True,False,implemented,implemented,transport_security.certificate_authority.key_vault_secret_id,firewallmanager/dp_firewallmanager,check_dp7_cert_kv,LIVE: Premium + KV cert ref set → PASS; Premium no cert → FAIL; Standard/Basic → UNKNOWN (TLS inspection is Premium-only),Medium,Wide,4
firewallmanager,AM-2,Azure Policy Support,True,False,implemented,implemented,tags,firewallmanager/am_firewallmanager,check_am2_policy,Resource tags present → PASS proxy; no tags → FAIL,Medium,Wide,4
frontdoor,DP-7,Certificate Management in Azure Key Vault,True,False,implemented,implemented,frontend_endpoints[*].custom_https_configuration.certificate_source,frontdoor/dp_frontdoor,check_dp7_cert_kv,Live: iterate frontend_endpoints; AzureKeyVault→PASS; FrontDoor-managed cert→PASS; no HTTPS→FAIL; early-FAIL pattern,Medium,Wide,4
lighthouse,AM-2,Azure Policy Support,True,False,implemented,implemented,registrationDefinition.properties.authorizations[roleDefinitionId],,,LIVE-DIRECT: Azure Lighthouse enables cross-tenant Azure Policy delegation; check registrationDefinition.properties.authorizations contains Policy Contributor or Policy Insights Data Reader role for MSP; enables policy assignment and audit across customer tenant,Medium,Wide,4
networkwatcher,DP-4,Data at Rest Encryption Using Platform Keys,True,False,implemented,implemented,platform (microsoft-managed keys),networkwatcher/dp_networkwatcher,check_dp4_platform_keys,NW resource metadata encrypted at rest by platform-managed keys by default → PASS static (microsoft_managed),Medium,Wide,4
networkwatcher,AM-2,Azure Policy Support,True,False,implemented,implemented,tags,networkwatcher/am_networkwatcher,check_am2_policy,Resource tags present → PASS proxy for policy governance; no tags → FAIL (note: NW auto-provisions as NetworkWatcher_<region> — tag via Azure Policy),Medium,Wide,4
privatelink,AM-2,Azure Policy Support,True,False,implemented,implemented,endpoint.tags,privatelink/am_privatelink,check_am2_policy,LIVE-DIRECT: tags proxy for Azure Policy governance; tags non-empty → PASS; empty → FAIL,Medium,Wide,4
publicip,AM-2,Azure Policy Support,True,False,implemented,implemented,tags,publicip/am_publicip,check_am2_policy,Resource tags present → PASS proxy for policy governance; no tags → FAIL,Medium,Wide,4
redis,AM-2,Azure Policy Support,True,False,implemented,implemented,Microsoft.Cache/Redis,am_redis,check_am2_policy,LIVE-DIRECT: Azure Policy built-in definitions available for Azure Cache for Redis compliance.,Medium,Wide,4
redis,DP-5,Data at Rest Encryption Using CMK,False,Not Applicable,conditional_unknown,conditional,properties.encryption.customerManagedKeyEncryption.keyEncryptionKeyUrl (Microsoft.Cache/redisEnterprise),dp_redis,check_dp5_cmk,"CMK disk encryption GA Feb 2024 for Enterprise and Enterprise Flash tiers ONLY. Basic/Standard/Premium use Microsoft-managed keys only; CMK not supported on those tiers. Enterprise check via Microsoft.Cache/redisEnterprise resource. If org uses only Basic/Standard/Premium, verdict is still_not_applicable.",Medium,Wide,4
redis,DP-6,Key Management in Azure Key Vault,False,Not Applicable,conditional_unknown,conditional,properties.encryption.customerManagedKeyEncryption.keyEncryptionKeyUrl (Microsoft.Cache/redisEnterprise),dp_redis,check_dp6_key_management_kv,Azure Key Vault integration for key management (CMK) GA Feb 2024 for Enterprise and Enterprise Flash tiers. Enterprise tier uses KV to store key encryption keys (KEK) for disk encryption. Basic/Standard/Premium: no KV key management integration. Same tier restriction as DP-5.,Medium,Wide,4
servicebus,DP-3,Encrypt Data in Transit,True,False,implemented,implemented,minimumTlsVersion,servicebus/dp_servicebus,check_dp3_tls_transit,minimum_tls_version in (1.2 / 1.3) → PASS,Medium,Wide,4
servicebus,DP-5,Encrypt Data at Rest with Customer-Managed Key,True,False,implemented,implemented,encryption.keySource,servicebus/dp_servicebus,check_dp5_cmk,Premium SKU only; encryption.key_source=Microsoft.KeyVault → PASS; non-Premium → UNKNOWN; Premium without CMK → FAIL,Medium,Wide,4
servicebus,DP-7,Certificate Management using Azure Key Vault,False,Not Applicable,not_applicable_managed,conditional,N/A (Microsoft-managed infrastructure),servicebus/dp_servicebus,check_dp7_cert_kv,SB TLS certs are Microsoft-managed infrastructure; customer cert management via KV not ARM-readable → UNKNOWN,Medium,Wide,4
servicebus,AM-2,Use Only Approved Azure Services — Azure Policy Support,True,False,implemented,implemented,tags,servicebus/am_servicebus,check_am2_policy,Tags presence as proxy for policy governance; empty tags → FAIL,Medium,Wide,4
siterecovery,AM-2,Azure Policy Support,True,False,implemented,implemented,vault.tags,,,LIVE-DIRECT: tags proxy for Azure Policy governance on Recovery Services Vault; vault.tags non-empty and compliant → PASS,Medium,Wide,4
siterecovery,DP-7,Certificate Management in Azure Key Vault,True,False,implemented,implemented,vault.properties.encryption.keyVaultProperties.keyUri,,,LIVE-DIRECT: Site Recovery supports certificate management via KV for replication channel security; check encryption keyVaultProperties for active KV reference,Medium,Wide,4
siterecovery,DP-5,Data at Rest Encryption Using CMK,True,False,implemented,implemented,vault.properties.encryption.keyVaultProperties.keyUri,,,LIVE-DIRECT: Site Recovery vault supports CMK for encrypting replication data; check vault.properties.encryption.keyVaultProperties.keyUri is set,Medium,Wide,4
siterecovery,DP-6,Key Management in Azure Key Vault,True,False,implemented,implemented,vault.properties.encryption.keyVaultProperties.keyUri,,,LIVE-DIRECT: Customer-managed key rotation via Key Vault supported for SR vault; check keyVaultProperties.keyUri for active KV reference,Medium,Wide,4
spatialanchors,AM-2,Azure Policy Support,True,False,implemented,implemented,spatialAnchorsAccount.tags,,,LIVE-DIRECT: tags proxy for Azure Policy governance; deprecated November 2024,Medium,Wide,4
vpngateway,AM-2,Azure Policy Support,True,False,implemented,implemented,gateway.tags,vpngateway/am_vpngateway,check_am2_policy,Tags proxy for Azure Policy governance; tags present → PASS; empty → FAIL,Medium,Wide,4
waf,DP-1,Sensitive Data Discovery and Classification,True,False,implemented,implemented,policy.policy_settings.log_scrubbing.state,waf/dp_waf,check_dp1_log_scrubbing,LIVE-DIRECT: WAF Log Scrubbing tool masks PII in WAF logs; log_scrubbing.state=='Enabled' → PASS; None (old SDK) → UNKNOWN,Medium,Wide,4
waf,DP-3,Data in Transit Encryption,True,False,implemented,implemented,ag.ssl_policy.min_protocol_version,waf/dp_waf,check_dp3_tls_transit,LIVE-INDIRECT: App GW ssl_policy.min_protocol_version; TLSv1_2/TLSv1_3 → PASS; None/TLSv1_0/TLSv1_1 → FAIL,Medium,Wide,4
waf,DP-7,Certificate Management in Azure Key Vault,True,False,implemented,implemented,ag.ssl_certificates[].key_vault_secret_id,waf/dp_waf,check_dp7_cert_kv,LIVE-INDIRECT: App GW ssl_certificates[].key_vault_secret_id; KV-backed cert present → PASS; all direct-upload certs → FAIL,Medium,Wide,4
waf,AM-2,Azure Policy Support,True,False,implemented,implemented,policy.tags,waf/am_waf,check_am2_policy,LIVE-DIRECT: tags proxy for Azure Policy governance; tags non-empty → PASS; empty → FAIL,Medium,Wide,4
addds,NS-1,Virtual Network Integration,True,True,implemented,implemented,N/A — microsoft_managed PASS static,,,microsoft_managed: ADDDS deploys into a dedicated subnet in customer VNet; VNet integration is required and platform-enforced,High,Narrow,3
appgateway,IM-8,Restrict the Exposure of Credential and Secrets — Use Azure Key Vault,False,Not Applicable,upgraded_implemented,now_applicable_native,sslCertificates[*].keyVaultSecretId / identity,appgateway/im_appgateway,check_im8_keyvault_secrets,KV-backed certs + MI → PASS; inline certs → FAIL; no certs → UNKNOWN,High,Narrow,3
appgateway,PA-8,Determine Access Process for Microsoft Support — Customer Lockbox,False,Not Applicable,upgraded_implemented,now_applicable_native,N/A (subscription-level),appgateway/pa_appgateway,check_pa8_customer_lockbox,AppGW in Lockbox supported list (GA); subscription-level only — per-gateway check not available → UNKNOWN,High,Narrow,3
attestation,IM-1,Azure AD Authentication Required for Data Plane Access,True,True,implemented,implemented,N/A — microsoft_managed PASS static,,,"microsoft_managed: platform-enforced, enabled by default, not customer-configurable",High,Narrow,3
attestation,PA-8,Customer Lockbox,True,True,implemented,implemented,N/A — microsoft_managed PASS static,,,microsoft_managed: Customer Lockbox is supported for Azure Attestation; platform-enforced approval workflow for Microsoft support access,High,Narrow,3
attestation,NS-2,Disable Public Network Access,True,True,implemented,implemented,N/A — microsoft_managed PASS static,,,microsoft_managed: Public network access can be disabled on attestation provider; platform enforces when set,High,Narrow,3
attestation,IM-3,Managed Identities,True,True,implemented,implemented,N/A — microsoft_managed PASS static,,,microsoft_managed: Managed Identity supported for attestation requests; system-assigned MI can authenticate to MAA endpoint,High,Narrow,3
attestation,NS-2,Azure Private Link,True,True,implemented,implemented,N/A — microsoft_managed PASS static,,,microsoft_managed: Private endpoint support for Azure Attestation GA; platform-enforced when enabled; blocks public attestation endpoint,High,Narrow,3
attestation,IM-3,Service Principals,True,True,implemented,implemented,N/A — microsoft_managed PASS static,,,microsoft_managed: Service Principals supported for attestation API calls; standard AAD app registration pattern,High,Narrow,3
automation,IM-1,Azure AD Authentication Required for Data Plane Access,True,True,implemented,implemented,N/A — microsoft_managed PASS static,,,microsoft_managed: Azure Automation enforces AAD authentication for runbook execution and management API; always enabled; platform-enforced,High,Narrow,3
automation,IM-8,Service Credential and Secrets Support Integration and Storage in Azure Key Vault,True,True,implemented,implemented,N/A — microsoft_managed PASS static,,,microsoft_managed: Azure Automation Account natively integrates Key Vault for runbook credential and secret management; KV-backed secure assets available by default; platform-enforced,High,Narrow,3
automation,PA-7,Azure RBAC for Data Plane,True,True,implemented,implemented,N/A — microsoft_managed PASS static,,,"microsoft_managed: Azure Automation enforces RBAC for runbook and job operations; built-in roles: Automation Operator, Automation Job Operator, Automation Runbook Operator; platform-enforced access control",High,Narrow,3
automation,IM-3,Managed Identities,True,True,implemented,implemented,N/A — microsoft_managed PASS static,,,microsoft_managed: Azure Automation Account supports system-assigned and user-assigned managed identities; MI replaces deprecated Run As account for runbook authentication; platform-enforced,High,Narrow,3
azurefirewall,NS-1,Virtual Network Integration,True,True,implemented,implemented,ipConfigurations[*].subnet.id contains 'AzureFirewallSubnet',azurefirewall/ns_azurefirewall,check_ns1_vnet,microsoft_managed default True; verify subnet placement via ip_configurations → PASS if AzureFirewallSubnet found,High,Narrow,3
azurefirewall,IM-3,Managed Identities,False,Not Applicable,now_applicable_native,now_applicable_native,identity (SystemAssigned or UserAssigned),azurefirewall/im_azurefirewall,check_im3_managed_identities,Firewall MI used to pull KV cert for Premium TLS inspection; firewall.identity present → PASS (now_applicable_native 2024),High,Narrow,3
azurefirewall,IM-8,Service Credential and Secrets Support Integration and Storage in Azure Key Vault,False,Not Applicable,now_applicable_native,now_applicable_native,transportSecurity.certificateAuthority.keyVaultSecretId,azurefirewall/im_azurefirewall,check_im8_keyvault_secrets,Premium TLS inspection intermediate CA cert stored in KV; key_vault_secret_id set → PASS (now_applicable_native 2024),High,Narrow,3
backup,IM-3,Managed Identities,False,Not Applicable,now_applicable_native,now_applicable_native,vault.identity.type,,,now_applicable_native: MCSB v3 baseline recorded False but Azure Backup gained system-assigned managed identity support (2022+); Recovery Services Vault can use MI for CMK key access and cross-subscription restore; check vault.identity.type for SystemAssigned; script check deferred to later phase,High,Narrow,3
bastion,IM-1,Azure AD Authentication Required for Data Plane Access,True,True,implemented,implemented,N/A — microsoft_managed PASS static,bastion/im_bastion,check_im1_aad_auth,microsoft_managed: Bastion access authenticated via Entra ID through Azure portal; portal session validates identity before Bastion connection; management plane only,High,Narrow,3
customerlockbox,IM-1,Azure AD Authentication Required for Data Plane Access,True,True,implemented,implemented,N/A — microsoft_managed PASS static,,,microsoft_managed: Customer Lockbox portal enforces AAD authentication for approving and denying Microsoft support access requests; always enabled; platform-enforced,High,Narrow,3
customerlockbox,IM-7,Conditional Access for Data Plane,False,Not Applicable,now_applicable_native,now_applicable_native,conditionalAccessPolicy.conditions.applications.includeApplications[AzurePortal],,,now_applicable_native: MCSB v3 baseline recorded False but Conditional Access policies can gate Azure portal access — the only path for Lockbox approval and denial operations; CA policies applied to Azure portal (app ID 00000006-0000-0ff1-ce00-000000000000) effectively enforce CA for all Lockbox operations; script check deferred to later phase,High,Narrow,3
customerlockbox,LT-4,Azure Resource Logs,False,Not Applicable,now_applicable_native,now_applicable_native,ActivityLog.filter(resourceType='Microsoft.CustomerLockbox'),,,now_applicable_native: MCSB v3 baseline recorded False but Customer Lockbox access requests (approvals and denials) are now captured as Activity Log events under Microsoft.CustomerLockbox resource type; auditable via Azure Monitor Activity Log; script check deferred to later phase,High,Narrow,3
frontdoor,NS-2,Native IP Filtering via WAF Policy,True,True,implemented,implemented,frontend_endpoints[*].web_application_firewall_policy_link,frontdoor/ns_frontdoor,check_ns2_waf_policy,WAF policy link on frontend endpoints; any ep.web_application_firewall_policy_link present → PASS; all endpoints without WAF link → FAIL,High,Narrow,3
intelligentrecommendations,IM-1,Azure AD Authentication Required for Data Plane Access,True,True,implemented,implemented,N/A — microsoft_managed PASS static,,,microsoft_managed: Azure Intelligent Recommendations enforces Entra ID authentication for API access; AAD token required for all data plane calls,High,Narrow,3
intelligentrecommendations,IM-1,Azure AD Authentication Required for Data Plane Access,True,True,implemented,implemented,N/A — microsoft_managed PASS static,,,microsoft_managed: Azure Intelligent Recommendations enforces Entra ID authentication for API access; AAD token required for all data plane calls,High,Narrow,3
intelligentrecommendations,IM-3,Service Principals,True,True,implemented,implemented,N/A — microsoft_managed PASS static,,,microsoft_managed: Service Principals supported for Intelligent Recommendations API authentication; standard AAD app-registration pattern,High,Narrow,3
intelligentrecommendations,IM-3,Service Principals,True,True,implemented,implemented,N/A — microsoft_managed PASS static,,,microsoft_managed: Service Principals supported for Intelligent Recommendations API authentication; standard AAD app-registration pattern,High,Narrow,3
lighthouse,LT-4,Azure Resource Logs,False,Not Applicable,now_applicable_native,now_applicable_native,ActivityLog.filter(operationName='Microsoft.ManagedServices/*'),,,"now_applicable_native: MCSB v3 baseline recorded False but Azure Lighthouse now generates Activity Log events for all delegation operations (registration assignments, access grants) under Microsoft.ManagedServices namespace; auditable via Azure Monitor Activity Log queries; script check deferred to later phase",High,Narrow,3
privatelink,NS-1,Virtual Network Integration,True,True,implemented,implemented,N/A — microsoft_managed PASS static,privatelink/ns_privatelink,check_ns1_vnet,Private Endpoint always deployed in customer VNet by definition; VNet integration inherent to PE architecture; microsoft_managed,High,Narrow,3
privatelink,NS-2,Azure Private Link,True,True,implemented,implemented,N/A — microsoft_managed PASS static,privatelink/ns_privatelink,check_ns2_private_link,The assessed service IS Azure Private Link; Private Link support is meta-tautological for this resource type; microsoft_managed,High,Narrow,3
privatelink,NS-2,Disable Public Network Access,True,True,implemented,implemented,N/A — microsoft_managed PASS static,privatelink/ns_privatelink,check_ns2_disable_public,PE has no public endpoint concept; all traffic via private IP in customer VNet; microsoft_managed,High,Narrow,3
redis,IM-1,Azure AD Authentication Required for Data Plane Access,False,Not Applicable,upgraded_implemented,now_applicable_native,properties.disableAccessKeyAuthentication,im_redis,check_im1_aad_auth_required,Microsoft Entra ID authentication GA Nov 2024 for Basic/Standard/Premium tiers (not Enterprise tiers). Disabling access keys and enforcing Entra auth is configurable. Azure Policy built-in: 'Azure Cache for Redis should not use access keys for authentication'. ARM check: properties.disableAccessKeyAuthentication.,High,Narrow,3
redis,PA-7,Azure RBAC for Data Plane,False,Not Applicable,upgraded_implemented,now_applicable_native,Microsoft.Cache/redis/accessPolicies and properties.disableAccessKeyAuthentication,pa_redis,check_pa7_rbac_data_plane,"Entra ID RBAC via ACL-based access policies GA Nov 2024 for Basic/Standard/Premium tiers. Three built-in policies: Data Owner, Data Contributor, Data Reader. Custom policies supported. ARM resources: Microsoft.Cache/redis/accessPolicies and Microsoft.Cache/redis/accessPolicyAssignments. Check disableAccessKeyAuthentication + list access policy assignments.",High,Narrow,3
redis,NS-2,Disable Public Network Access,True,True,implemented,implemented,Microsoft.Cache/Redis/properties/publicNetworkAccess,ns_redis,check_ns2_disable_public_access,microsoft_managed: Azure Cache for Redis enforces public network access disabled by default when Private Link configured; publicNetworkAccess property.,High,Narrow,3
redis,IM-1,Local Authentication Methods for Data Plane Access,True,True,implemented,implemented,see script,im_redis,check_im1_local_auth_methods,microsoft_managed: Azure Cache for Redis uses AAD-based access keys as local auth mechanism; TLS enforced by default.,High,Narrow,3
redis,IM-3,Managed Identities,False,Not Applicable,upgraded_implemented,now_applicable_native,Microsoft.Cache/redis/accessPolicyAssignments (objectId of assigned MI),im_redis,check_im3_managed_identities,"Client applications can authenticate to Redis data plane using managed identity tokens via Entra ID (GA Nov 2024). Additionally, cache-side managed identity for storage connections (persistence/import-export) GA for Premium tier. Check: Entra auth enabled + access policy assignments with MI object IDs. Entra auth required first (IM-1).",High,Narrow,3
redis,IM-3,Service Principals,False,Not Applicable,upgraded_implemented,now_applicable_native,Microsoft.Cache/redis/accessPolicyAssignments (objectId of assigned service principal),im_redis,check_im3_service_principals,Service principals can authenticate to Redis data plane via Entra ID tokens (GA Nov 2024). Same mechanism as managed identities — service principal object ID assigned to access policy. Check: Entra auth enabled + access policy assignments include SP-type objectIds. Entra auth required first (IM-1).,High,Narrow,3
servicebus,IM-1,Use Centralized Identity and Authentication System — Disable Local Auth,False,Not Applicable,upgraded_implemented,now_applicable_native,disableLocalAuth,servicebus/im_servicebus,check_im1_local_auth_methods,disable_local_auth=True disables SAS keys; GA property analogous to Redis disable_access_key_authentication,High,Narrow,3
servicebus,IM-1,Use Centralized Identity and Authentication System — AAD Auth Required,False,Not Applicable,upgraded_implemented,now_applicable_native,disableLocalAuth,servicebus/im_servicebus,check_im1_aad_auth_required,disable_local_auth=True enforces Entra ID as sole auth method for data plane,High,Narrow,3
servicebus,IM-8,Restrict the Exposure of Credential and Secrets — Use Azure Key Vault,False,Not Applicable,upgraded_implemented,now_applicable_native,disableLocalAuth,servicebus/im_servicebus,check_im8_keyvault_secrets,disable_local_auth=True → no SAS connection strings exposed → PASS; False → UNKNOWN (should use KV but not ARM-verifiable),High,Narrow,3
servicebus,PA-1,Separate and Limit Highly Privileged/Administrative Users — Disable Local Admin,False,Not Applicable,upgraded_implemented,now_applicable_native,disableLocalAuth,servicebus/pa_servicebus,check_pa1_local_admin,disable_local_auth=False = SAS Manage-level keys active = local-admin equivalent; True → PASS,High,Narrow,3
servicebus,PA-7,Follow Just Enough Administration Principle — RBAC for Data Plane,False,Not Applicable,upgraded_implemented,now_applicable_native,disableLocalAuth,servicebus/pa_servicebus,check_pa7_rbac_data_plane,disable_local_auth=True = Entra/RBAC data-plane active; full JEA verification requires azure-mgmt-authorization,High,Narrow,3
servicebus,PA-8,Determine Access Process for Microsoft Support — Customer Lockbox,False,Not Applicable,upgraded_implemented,now_applicable_native,N/A (subscription-level),servicebus/pa_servicebus,check_pa8_customer_lockbox,SB in Lockbox supported services list (GA); enablement is subscription-level — per-namespace ARM check not available; always UNKNOWN with rationale,High,Narrow,3
spatialanchors,IM-1,Local Authentication Methods for Data Plane Access,True,True,implemented,implemented,N/A — microsoft_managed PASS static,,,microsoft_managed: Local auth (account key) supported alongside AAD; customers should prefer AAD; deprecated November 2024,High,Narrow,3
universalprint,IM-1,Azure AD Authentication Required for Data Plane Access,True,True,implemented,implemented,N/A — microsoft_managed PASS static,,,microsoft_managed: Universal Print enforces Entra ID authentication for all print operations; AAD required for printer registration and print job submission,High,Narrow,3
vpngateway,NS-1,Network Security Group Support,True,True,implemented,implemented,N/A — microsoft_managed PASS static,vpngateway/ns_vpngateway,check_ns1_nsg,VPN GW subnets are in customer VNet; VNet subnet traffic respects NSG rules by default; microsoft_managed; Note: NSG on GatewaySubnet itself breaks VPN — NSGs protect spoke subnets,High,Narrow,3
vpngateway,NS-1,Virtual Network Integration,True,True,implemented,implemented,N/A — microsoft_managed PASS static,vpngateway/ns_vpngateway,check_ns1_vnet,VPN GW always deployed into customer GatewaySubnet within a VNet; VNet integration inherent; microsoft_managed,High,Narrow,3
vpngateway,IM-3,Managed Identities,False,Not Applicable,now_applicable_native,now_applicable_native,Microsoft.Network/virtualNetworkGateways/identity,vpngateway/im_vpngateway,check_im3_managed_identities,now_applicable_native: VPN Gateway S2S certificate auth requires User-Assigned Managed Identity to access certificates in Azure Key Vault. Source: https://learn.microsoft.com/en-us/azure/vpn-gateway/site-to-site-certificate-authentication-gateway-about,High,Narrow,3
vpngateway,IM-8,Service Credential and Secrets Support Integration in Azure Key Vault,False,Not Applicable,now_applicable_native,now_applicable_native,Microsoft.Network/virtualNetworkGateways/vpnClientConfiguration,vpngateway/im_vpngateway,check_im8_keyvault_secrets,now_applicable_native: VPN Gateway S2S certificate auth stores outbound/inbound certificates in Azure Key Vault; secrets accessed via User-Assigned MI. Source: https://learn.microsoft.com/en-us/azure/vpn-gateway/site-to-site-certificate-authentication-gateway-about,High,Narrow,3
vpngateway,LT-4,Azure Resource Logs,False,Not Applicable,now_applicable_native,now_applicable_native,diagnostic_settings.list(gateway.id),vpngateway/lt_vpngateway,check_lt4_resource_logs,feature_supported=False in original v3 baseline; VPN GW DiagSettings now available; categories: TunnelDiagnosticLog/IKEDiagnosticLog/P2SDiagnosticLog/RouteDiagnosticLog/GatewayDiagnosticLog,High,Narrow,3
vpngateway,PA-7,Azure RBAC for Data Plane,True,True,implemented,implemented,N/A — microsoft_managed PASS static,vpngateway/pa_vpngateway,check_pa7_rbac_data_plane,ARM RBAC enforced by default; feature_supported=True + enabled_by_default=True + microsoft_managed; Network Contributor or custom role,High,Narrow,3
waf,NS-1,Virtual Network Integration,True,True,implemented,implemented,N/A — microsoft_managed PASS static,waf/ns_waf,check_ns1_vnet,App GW (WAF host) always deployed in customer VNet; VNet integration inherent to App GW deployment; microsoft_managed,High,Narrow,3
addds,AM-2,Azure Policy Support,True,True,implemented,implemented,N/A — microsoft_managed PASS static,,,microsoft_managed: Azure Policy governance applies via tags and resource properties; customer cannot configure directly on the ADDDS PaaS control,Medium,Narrow,2
addds,DP-4,Data at Rest Encryption Using Platform Keys,True,True,implemented,implemented,N/A — microsoft_managed PASS static,,,"microsoft_managed: platform-enforced, enabled by default, not customer-configurable",Medium,Narrow,2
addds,BR-1,Service Native Backup Capability,True,True,implemented,implemented,N/A — microsoft_managed PASS static,,,microsoft_managed: ADDDS managed service backup is platform-enforced; frequency determined by SKU (hourly/daily); customer cannot configure,Medium,Narrow,2
appgateway,DP-2,Monitor Anomalies and Threats Targeting Sensitive Data,False,Not Applicable,upgraded_implemented,now_applicable_native,webApplicationFirewallConfiguration.enabled+firewallMode / firewallPolicy,appgateway/dp_appgateway,check_dp2_dlp,WAF Prevention mode → traffic inspection/anomaly detection active → PASS proxy,Medium,Narrow,2
appgateway,DP-4,Encrypt Data at Rest with Platform-Managed Keys,True,True,implemented,implemented,N/A (inherent — MS-managed),appgateway/dp_appgateway,check_dp4_platform_keys,AppGW configuration encrypted at rest with MS-managed keys by default — auto-PASS (static),Medium,Narrow,2
